"Id, Faculty",Program,Career,Year,Traject,Course
75,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,Industriele bio-organische chemie
76,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,Industriele microbiologie
77,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,Inleiding tot het Bedrijfsbeheer I
78,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,Katalyse
79,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,Katalyse (nm)
80,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,Katalyse (vm)
81,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,Modellering van (bio)chemische processen
82,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,Moleculaire technologie
83,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,Protein Engineering
84,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Biochemische biotechnologie,"Proteinechemie, Functie en Structuur"
85,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,Bespreking geintegreerd practicum structuur en functie van eiwitten
86,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,Biochemische ingenieurstechniek
87,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,Chemische modificatie van hernieuwbare grondstoffen
88,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,Industriele bio-organische chemie
89,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,Industriele microbiologie
90,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,Inleiding tot het Bedrijfsbeheer I
91,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,Katalyse
92,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,Katalyse (nm)
93,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,Katalyse (vm)
94,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,Modellering van (bio)chemische processen
95,Faculteit Wetenschappen,Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,MA,1,1 M Bio-ingenieur Chemie en Bioprocestechnologie/Chemische biotechnologie,Moleculaire technologie
